Country Code,GDP($),Area(sq km),Length of Roadways(km), Length of Railways(km)
XX,16300,510072000000,64285009,1148186
AF,2000,652230,42150,0
AX,11900,123,0,0
AL,15000,28748,18000,677
AG,13000,2381741,113655,3973
AQ,13000,199,241,0
AN,37200,468,320,0
AO,6800,1246700,51429,2852
AV,12200,91,175,0
AY,12200,14000000,0,0
AC,24100,4426,1170,0
XQ,20200,14056000000,0,0
AR,8900,2780400,231374,369174
AM,25300,29743,7792,780
AA,25300,180,0,0
AT,48800,5,0,0
ZH,47900,76762000000,0,0
AS,17700,7741220,823217,369675
AU,24600,83871,133597,52677
AJ,50300,86600,52942,2068
BF,3900,13880,2700,0
BA,17200,760,4122,0
FQ,17500,148460,0,0
BG,44900,430,21269,2460
BB,8200,207600,1600,0
BO,2200,30528,86392,5528
BE,85700,22966,154012,3592
BH,85700,112622,2870,0
BN,8100,54,16000,438
BD,7200,38394,447,0
BT,11000,1098581,10578,0
BL,16900,51197,80488,3504
BK,15200,581730,22926,965
BC,42300,49,17916,888
BV,42300,8515770,0,0
BR,79700,60,1580964,28538
IO,20100,151,0,0
VI,1800,5765,200,0
BX,6000,110879,3029,0
BU,800,274200,19512,5114
UV,6700,676578,15272,622
BM,3700,27830,34377,5031
BY,3300,4033,12322,0
CV,46200,181035,1350,0
CB,43800,475440,44709,642
CM,43800,9984670,51350,987
CA,700,264,1042300,77932
CJ,2600,622984,785,0
CT,24000,1284000000,20278,0
CD,15400,756102,40000,0
CI,15400,9596960,77764,72815
CH,14200,135,4106387,191270
KT,1500,6,140,18
IP,800,14,0,0
CK,6800,1138910,22,0
CO,12300,2235,204855,2141
CN,12300,2344858,880,0
CG,16100,342000,153497,4007
CF,3600,236,17000,510
CW,22400,0,320,0
CR,11600,51100,0,0
CS,15000,322463,39018,278
IV,15000,56594,81996,660
HR,34400,110860,26958,2722
CU,33200,444,60858,8285
CC,46600,9251,550,0
CY,3400,78867,20006,0
EZ,11400,43094,130661,96215
DA,15900,1308,74497,2633
DX,11000,23200,0,0
DJ,12100,751,3065,100
DO,8900,48670,1512,0
DR,38700,283561,19705,496
EC,1300,1001450,43670,965
EG,29500,21041,137430,5085
ES,1900,28051,6918,125
EK,55400,117600,2880,0
ER,55400,45228,4010,306
EN,36600,1104300,58412,1196
ET,36600,12173,110414,681
FK,9400,1393,440,0
FO,41800,18274,960,0
FJ,42400,338145,3440,597
FI,26100,643801,454000,5919
FR,26100,4167,1028446,29640
FP,19300,0,2590,0
FS,1700,267667,0,0
GB,0,11300,9170,649
GA,10100,360,3740,0
GZ,48200,69700,0,0
GG,4400,357022,19109,1363
GM,43000,238533,645000,434683
GH,43000,65,109515,947
GI,26800,131957,29,0
GR,37900,2166086,116960,2548
GL,37900,344,0,0
GJ,14100,544,1127,0
GQ,30500,108889,1045,0
GT,30500,78,17332,800
GK,7900,245857,0,0
GV,52300,36125,44348,662
PU,52300,214969,3455,0
GY,1300,27750,7970,0
HA,1600,412,4266,0
HM,7900,44,0,0
VT,1800,112090,0,0
HO,5300,1108,14742,699
HK,58100,16,2100,0
HQ,58100,93028,0,0
HU,27200,103000,203601,8049
IC,48100,3287263,12890,0
IN,6700,68556000000,4699024,68525
XO,11700,1904569,0,0
ID,18100,1648195,496607,8159
IR,16500,438317,198866,84835
IZ,69400,70273,59623,2272
EI,83100,572,96036,3237
IM,83100,20770,500,63
IS,34800,301340,18566,1250
IT,34800,10991,487700,201817
JM,36300,377,22121,0
JN,9000,377915,0,0
JA,38900,45,1218772,27311
DQ,57000,116,0,0
JE,57000,263,576,0
JQ,11100,89342,0,0
JO,25700,2724900,7203,507
KZ,3400,580367,97418,14184
KE,1800,1,160878,3334
KQ,1800,811,0,0
KR,37900,120538,670,0
KN,10000,99720,25554,7435
KS,71300,10887,104983,3460
KV,3500,17818,2003,333
KU,5700,199951,6608,0
KG,25700,236800,34000,470
LA,18500,64589,39586,0
LG,3100,10400,72440,2239
LE,900,30355,6970,401
LT,14200,111369,5940,0
LI,89400,1759540,10600,429
LY,29900,160,100024,0
LS,102000,65300,380,9
LH,96100,2586,84166,1768
LU,96100,282,2899,275
MC,14500,25713,424,0
MK,1500,587041,14182,699
MA,1100,118484,37476,836
MI,27200,329847,15450,767
MY,15300,298,144403,1849
MV,2300,1240192,88,0
ML,37900,316,22474,593
MT,3300,181,3096,0
RM,4400,1030700,2028,0
MR,20500,2040,10628,728
MP,18900,1964375,2149,0
MX,3000,702,377660,15389
FM,5200,62,388,0
MQ,78700,33851,0,0
MD,12200,2,9352,1171
MN,17000,1564116,77,0
MG,8500,13812,49249,1815
MJ,8500,102,7762,250
MH,8400,446550,0,0
MO,1200,799380,58395,2067
MZ,11800,824292,30331,4787
WA,14800,21,44138,2628
NR,2500,54,30,0
BQ,50800,147181,0,0
NP,38800,41543,10844,53
NL,38800,18575,138641,3223
NC,37100,268838,5622,0
NZ,5300,130370,94902,4128
NU,1100,1267000000,23897,0
NG,5900,923768,18949,0
NI,5800,260,193200,3798
NE,5800,36,120,0
NF,13300,464,80,0
CQ,13300,323802,536,0
NO,69300,309500,93870,4250
MU,43700,155557000000,60230,0
ZN,5100,796095,0,0
PK,15300,459,263942,11881
PS,22800,119,0,0
LQ,3500,75420,0,0
PM,9400,462840,15137,77
PP,13000,0,9349,0
PF,7700,406752,0,0
PA,27700,1285216,32059,30
PE,28500,300000,140672,18544
RP,37700,47,216387,995
PC,37700,312685,0,0
PL,129700,92090,412035,19837
PO,22300,13791,82900,30751
RQ,26100,11586,26862,0
QA,1900,238391,9830,0
RO,7800,17098242,84185,11268
RS,7800,26338,1283387,87157
RW,25500,25,4700,0
TB,12000,308,0,0
SH,19300,261,198,0
SC,19300,616,383,50
ST,34900,544,1210,0
RN,34900,242,0,0
SB,11300,389,117,0
VC,5400,2831,829,0
WS,65300,61,2337,0
SM,3300,964,292,0
TP,54100,2149690,320,0
SA,2600,196722,221372,1378
SG,14200,77474,15000,906
RI,28000,455,44248,3808
SE,1700,71740,526,0
SL,87100,697,11300,0
SN,66800,34,3425,0
SK,66800,49035,53,0
LO,31200,20273,54869,3624
SI,32000,28896,38985,1229
BP,2000,637657,1390,0
SO,400,1219090,22100,0
SF,13200,20327000000,747014,20986
OO,1700,3903,0,0
SX,36500,644329,0,0
OD,11200,505370,7000,248
SP,4500,0,683175,161015
PG,15200,65610,0,0
CE,9800,1861484,114093,1447
SU,49700,163820,11900,7251
NS,59400,62045,4304,0
SV,2900,17364,0,0
WZ,47800,450295,3594,301
SW,3000,41277,579564,11915
SZ,3100,185180,71464,56515
SY,16800,35980,69873,2052
TW,4200,144100,42520,1597
TI,1500,947300,27767,680
TZ,1000,513120,86472,4567
TH,1000,14874,180053,40708
TT,5300,56785,6040,0
TO,31900,12,11652,568
TL,11700,747,0,0
TN,21100,5128,680,0
TD,17300,163610,9592,0
TS,29100,783562,19418,2173
TU,29100,488100,385754,12008
TX,3500,948,58592,2980
TK,2100,26,121,0
TV,8200,241038,8,0
UG,67700,603550,20000,1244
UP,42500,83600,169694,21733
AE,57300,243610,4080,0
UK,21600,9833517,394428,16837
US,6500,0,6586610,2935642
UM,2600,176215,0,0
UY,15100,447400,77732,1641
UZ,6400,12189,86496,3645
NH,36100,912050,1070,0
VE,36100,331210,96189,447
VM,3800,1910,195468,2600
VQ,3800,65,1260,0
WQ,4300,142,0,0
WF,2500,5860,0,0
WE,2500,266000,4686,0
WI,3900,527968,0,0
YM,2000,752618,71300,0
ZA,37800,390757,40454,3126
